1441,225592,5.0,2002-12-25
1442,216821,5.0,2003-05-22
1443,207733,3.0,2003-05-23
1444,220049,4.0,2003-07-29
1445,214467,5.0,2003-11-15
1446,223683,5.0,2003-12-20
1443,207732,3.0,2004-01-15
1447,221209,5.0,2004-02-24
1442,216820,5.0,2004-04-18
1444,220048,5.0,2004-05-10
1448,23960,2.0,2004-05-28
1442,216819,5.0,2004-05-29
1447,221208,5.0,2004-07-25
1441,169333,5.0,2004-08-01
1441,225591,5.0,2004-08-03
1449,222662,4.0,2004-08-07
1450,293412,5.0,2004-08-26
1447,221207,4.0,2004-08-30
1451,206923,3.0,2004-09-03
1451,206922,1.0,2004-09-11
1452,217701,5.0,2004-10-26
1451,206921,5.0,2004-12-26
1450,39696,3.0,2005-02-07
1444,5288,4.0,2005-03-07
1453,217813,5.0,2005-04-03
1453,217812,5.0,2005-05-29
1451,206920,4.0,2005-05-31
1442,206920,5.0,2005-05-31
1441,225590,2.0,2005-06-11
1441,225589,2.0,2005-06-13
1452,217700,4.0,2005-06-14
1441,225588,5.0,2005-06-18
1441,225587,5.0,2005-06-22
1442,177,5.0,2005-07-04
1441,177,5.0,2005-07-04
1444,220047,4.0,2005-07-22
1454,177,1.0,2005-07-24
1455,177,2.0,2005-07-24
1444,26374,5.0,2005-07-26
1442,216818,5.0,2005-07-27
1442,216818,5.0,2005-07-27
1451,206919,5.0,2005-09-04
1442,89690,5.0,2005-09-04
1444,226430,5.0,2005-09-25
1441,225586,4.0,2005-09-29
1444,220046,4.0,2005-09-30
1456,223271,3.0,2005-10-05
1457,224205,5.0,2005-10-05
1447,221206,4.0,2005-10-10
1453,217811,3.0,2005-10-11
1458,210018,5.0,2005-10-16
1451,206918,3.0,2005-11-08
1441,225585,1.0,2005-11-27
1454,223863,5.0,2005-12-08
1446,223682,5.0,2005-12-10
1446,223681,5.0,2005-12-11
1451,206917,5.0,2005-12-18
1454,223862,4.0,2005-12-23
1451,206916,5.0,2005-12-31
1450,206916,5.0,2005-12-31
1441,225584,5.0,2006-01-02
1446,223680,5.0,2006-01-04
1446,223680,5.0,2006-01-04
1441,225583,5.0,2006-01-11
1441,225582,5.0,2006-01-12
1441,225581,5.0,2006-01-17
1459,209243,2.0,2006-01-23
1460,216117,4.0,2006-01-30
1442,176,5.0,2006-01-31
1442,176,5.0,2006-01-31
1441,176,3.0,2006-01-31
1459,209242,5.0,2006-02-02
1441,225580,5.0,2006-02-06
1450,224484,3.0,2006-02-10
1459,209241,5.0,2006-02-12
1459,209240,5.0,2006-02-19
1451,206915,4.0,2006-03-05
1447,141138,2.0,2006-03-24
1461,225050,2.0,2006-03-31
1462,207731,2.0,2006-04-04
1444,220045,5.0,2006-04-11
1443,207731,4.0,2006-04-12
1443,207731,4.0,2006-04-12
1459,209239,5.0,2006-04-16
1457,224204,4.0,2006-04-27
1457,4566,4.0,2006-04-29
1441,225579,2.0,2006-04-29
1444,220044,5.0,2006-05-18
1459,209238,2.0,2006-05-18
1444,220044,5.0,2006-05-18
1457,224263,4.0,2006-05-21
1445,214466,4.0,2006-05-31
1451,85214,3.0,2006-06-03
1441,225578,1.0,2006-06-06
1458,2028,4.0,2006-06-10
1452,217699,4.0,2006-06-13
1452,217699,4.0,2006-06-13
1453,217810,5.0,2006-06-18
1441,225577,5.0,2006-06-19
1454,223861,4.0,2006-07-04
1463,221586,3.0,2006-07-04
1459,209237,1.0,2006-07-11
1451,57609,5.0,2006-07-23
1451,57609,5.0,2006-07-23
1451,57609,5.0,2006-07-23
1451,206914,3.0,2006-07-25
1451,206914,3.0,2006-07-25
1451,206914,3.0,2006-07-25
1452,217698,4.0,2006-08-02
1464,222971,5.0,2006-08-04
1441,225576,5.0,2006-08-13
1453,290510,4.0,2006-08-22
1442,216817,2.0,2006-08-27
1458,14235,5.0,2006-08-30
1442,216816,5.0,2006-09-01
1444,220043,5.0,2006-09-02
1446,223679,4.0,2006-09-03
1444,220042,2.0,2006-09-03
1446,223679,4.0,2006-09-03
1446,223678,2.0,2006-09-04
1447,221205,5.0,2006-09-09
1444,252729,4.0,2006-09-12
1444,252729,4.0,2006-09-12
1444,252729,4.0,2006-09-12
1453,217809,5.0,2006-09-15
1465,210611,4.0,2006-09-19
1442,216815,2.0,2006-09-22
1457,224203,4.0,2006-09-27
1466,221785,5.0,2006-10-02
1443,207855,3.0,2006-10-07
1467,219586,4.0,2006-10-07
1468,223106,3.0,2006-10-24
1462,27576,3.0,2006-11-01
1443,207879,4.0,2006-11-02
1451,206913,4.0,2006-11-05
1444,220041,4.0,2006-11-16
1469,97937,4.0,2006-11-17
1466,97937,5.0,2006-11-17
1451,206912,2.0,2006-11-18
1464,106015,4.0,2006-11-19
1461,225049,5.0,2006-11-19
1464,106015,4.0,2006-11-19
1447,221204,5.0,2006-11-21
1449,208583,4.0,2006-11-23
1458,326875,5.0,2006-11-27
1441,225575,5.0,2006-11-29
1453,209238,2.0,2006-12-08
1470,23958,3.0,2006-12-29
1453,217808,5.0,2006-12-31
1471,214579,4.0,2007-01-08
1441,225574,3.0,2007-01-14
1444,289536,3.0,2007-01-24
1472,215530,5.0,2007-01-24
1444,289536,3.0,2007-01-24
1444,289536,3.0,2007-01-24
1473,219395,5.0,2007-02-02
1473,219395,5.0,2007-02-02
1445,214523,4.0,2007-02-03
1451,206911,3.0,2007-02-03
1474,218592,4.0,2007-02-03
1451,206910,3.0,2007-02-11
1451,206909,1.0,2007-02-15
1446,206913,5.0,2007-02-18
1447,2028,4.0,2007-02-24
1441,225573,5.0,2007-03-20
1441,225573,5.0,2007-03-20
1475,218003,5.0,2007-03-25
1454,223860,1.0,2007-03-25
1458,210017,4.0,2007-03-27
1458,341884,4.0,2007-04-01
1470,217537,3.0,2007-04-06
1476,21083,3.0,2007-04-08
1441,224412,2.0,2007-04-08
1464,222970,4.0,2007-04-09
1470,217536,2.0,2007-04-11
1448,224053,4.0,2007-04-14
1451,31506,5.0,2007-04-14
1448,224052,2.0,2007-04-22
1470,217535,4.0,2007-04-25
1441,210017,4.0,2007-05-02
1441,210017,4.0,2007-05-02
1477,2401,4.0,2007-05-05
1446,223677,5.0,2007-05-07
1462,212736,4.0,2007-05-07
1451,117471,4.0,2007-05-10
1478,218132,1.0,2007-05-20
1441,225572,3.0,2007-05-25
1441,225572,3.0,2007-05-25
1472,215625,5.0,2007-06-09
1441,16842,2.0,2007-06-13
1441,16842,2.0,2007-06-13
1454,38684,5.0,2007-06-13
1479,208826,3.0,2007-06-13
1448,2261,2.0,2007-06-16
1480,210408,4.0,2007-06-19
1466,18853,2.0,2007-06-22
1472,215624,5.0,2007-07-16
